Temperature,NumNodes,Iteration,NumEdges,Elapsed,TimeDisperse,TimeAttractiveForces,RepulsiveForce,kValue,TimeCopyBack
,,1,,0.0817045,,,,,
,,2,,0.076639,,,,,
,,3,,0.076217,,,,,
,,4,,0.07845,,,,,
,,5,,0.0765376,,,,,
,,6,,0.0760812,,,,,
,,7,,0.0767951,,,,,
,,8,,0.0763975,,,,,
,,9,,0.0777037,,,,,
,,10,,0.0766243,,,,,
,,11,,0.0766222,,,,,
,,12,,0.0762125,,,,,
,,13,,0.0783199,,,,,
,,14,,0.0764681,,,,,
,,15,,0.0756753,,,,,
,,16,,0.0772484,,,,,
,,17,,0.0774367,,,,,
,,18,,0.0767629,,,,,
,,19,,0.0764037,,,,,
